               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.20759,            0.024481,                   0,                   0,                   0,                   0,                   0,             0.20536,            0.016109,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.20305,            0.021643,                   0,                   0,                   0,                   0,                   0,              0.1995,            0.015635,                   0,            0.082862,           0.0018624,           0.0018624
                   2,             0.19213,            0.018029,                   0,                   0,                   0,                   0,                   0,             0.19591,            0.013511,                   0,            0.073785,           0.0027852,           0.0027852
                   3,             0.18491,            0.015128,                   0,                   0,                   0,                   0,                   0,             0.18452,            0.010104,                   0,            0.064668,           0.0036683,           0.0036683
                   4,             0.17535,            0.012411,                   0,                   0,                   0,                   0,                   0,             0.17923,           0.0078976,                   0,            0.055512,           0.0045119,           0.0045119
                   5,             0.17007,            0.010077,                   0,                   0,                   0,                   0,                   0,             0.17262,           0.0055645,                   0,            0.046316,           0.0053159,           0.0053159
                   6,             0.16612,           0.0079174,                   0,                   0,                   0,                   0,                   0,             0.16498,            0.004518,                   0,             0.03708,           0.0060803,           0.0060803
                   7,             0.16262,           0.0065225,                   0,                   0,                   0,                   0,                   0,             0.16253,           0.0034676,                   0,            0.027805,           0.0068051,           0.0068051
                   8,             0.16304,           0.0056591,                   0,                   0,                   0,                   0,                   0,             0.16272,           0.0028496,                   0,             0.01849,           0.0074902,           0.0074902
                   9,             0.16494,            0.004539,                   0,                   0,                   0,                   0,                   0,             0.16854,           0.0021452,                   0,           0.0091358,           0.0081358,           0.0081358
                  10,              0.1643,           0.0039932,                   0,                   0,                   0,                   0,                   0,             0.16206,           0.0017884,                   0,             0.00802,             0.00802,             0.00802
                  11,             0.15998,            0.003512,                   0,                   0,                   0,                   0,                   0,             0.16083,           0.0015808,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.15908,           0.0029909,                   0,                   0,                   0,                   0,                   0,             0.15853,           0.0013883,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.15726,            0.002848,                   0,                   0,                   0,                   0,                   0,             0.16209,           0.0013473,                   0,            0.007624,            0.007624,            0.007624
                  14,              0.1586,           0.0026187,                   0,                   0,                   0,                   0,                   0,             0.15183,           0.0018755,                   0,            0.007426,            0.007426,            0.007426
                  15,             0.15588,           0.0027513,                   0,                   0,                   0,                   0,                   0,             0.15113,           0.0018899,                   0,            0.007228,            0.007228,            0.007228
                  16,             0.15334,           0.0026946,                   0,                   0,                   0,                   0,                   0,             0.15105,           0.0018373,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.15097,           0.0027684,                   0,                   0,                   0,                   0,                   0,             0.15789,           0.0015637,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.15568,           0.0018675,                   0,                   0,                   0,                   0,                   0,             0.14918,            0.001943,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.15052,           0.0027441,                   0,                   0,                   0,                   0,                   0,             0.14859,           0.0020876,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.15008,           0.0025811,                   0,                   0,                   0,                   0,                   0,             0.14862,           0.0020408,                   0,            0.006238,            0.006238,            0.006238
